customer_id,company_name,industry,region,acquisition_channel,signup_date,manager_id,created_at
1,Martin Group,Healthcare,Singapore,Partner,2023-05-25,11,2026-07-25 00:18:26.911422
2,Hancock Inc,Education,USA,Referral,2025-01-17,11,2026-07-25 00:18:26.911683
3,Smith-Myers,Finance,India,Partner,2023-09-13,4,2026-07-25 00:18:26.912028
4,Henderson-Bernard,Manufacturing,United Kingdom,Paid Ads,2024-12-07,20,2026-07-25 00:18:26.912429
5,"Higgins, Moore and Phillips",Education,United Kingdom,Organic,2025-05-13,15,2026-07-25 00:18:26.912994
6,"Fitzgerald, Brown and Edwards",Consulting,India,Partner,2023-04-01,3,2026-07-25 00:18:26.913482
7,"Woods, Calhoun and Schmidt",Consulting,Canada,Social Media,2023-03-19,20,2026-07-25 00:18:26.914018
8,"Miller, Lopez and Larson",Manufacturing,Australia,Referral,2023-03-30,3,2026-07-25 00:18:26.914507
9,Powell PLC,SaaS,Singapore,Referral,2025-11-14,10,2026-07-25 00:18:26.914756
10,"Wheeler, Harvey and Barnes",Finance,United Kingdom,Referral,2024-01-18,4,2026-07-25 00:18:26.915233
11,"Mills, Donovan and Harris",Marketing,Canada,Partner,2025-06-25,12,2026-07-25 00:18:26.915745
12,Baker and Sons,Healthcare,Canada,Paid Ads,2024-05-03,7,2026-07-25 00:18:26.915956
13,"Evans, Stewart and Walton",Education,Singapore,Social Media,2025-11-09,3,2026-07-25 00:18:26.917255
14,Ellis PLC,E-Commerce,Singapore,Referral,2023-04-23,18,2026-07-25 00:18:26.917535
15,Medina PLC,Retail,USA,Partner,2023-06-05,13,2026-07-25 00:18:26.917846
16,Mahoney Inc,Education,Singapore,Social Media,2024-02-16,18,2026-07-25 00:18:26.918119
17,Mitchell-Kim,Retail,Singapore,Paid Ads,2024-01-15,2,2026-07-25 00:18:26.918509
18,"Turner, Riggs and Roman",Retail,United Kingdom,Organic,2025-04-23,11,2026-07-25 00:18:26.919134
19,Contreras PLC,Marketing,Canada,Organic,2025-04-01,7,2026-07-25 00:18:26.919423
20,"Garcia, Humphrey and Baker",E-Commerce,Singapore,Paid Ads,2024-04-10,7,2026-07-25 00:18:26.919952
21,"Tran, Nelson and Jacobs",Logistics,Germany,Social Media,2023-06-16,15,2026-07-25 00:18:26.920418
22,Watts LLC,Healthcare,Canada,Referral,2024-06-16,8,2026-07-25 00:18:26.920604
23,King-Odonnell,Consulting,Australia,Paid Ads,2025-02-24,19,2026-07-25 00:18:26.921062
24,Walters LLC,Marketing,Australia,Partner,2023-03-20,12,2026-07-25 00:18:26.921277
25,Cook and Sons,Retail,USA,Outbound Sales,2023-03-10,16,2026-07-25 00:18:26.921443
26,Martin-Ramos,Finance,United Kingdom,Organic,2025-09-16,4,2026-07-25 00:18:26.921713
27,"Smith, Jones and Ware",Healthcare,Singapore,Referral,2024-10-26,14,2026-07-25 00:18:26.922111
28,"Johnson, Wood and Tran",E-Commerce,India,Partner,2023-08-20,13,2026-07-25 00:18:26.922495
29,Williams LLC,E-Commerce,Germany,Outbound Sales,2024-10-29,9,2026-07-25 00:18:26.922657
30,Clark-Wright,Consulting,United Kingdom,Organic,2023-03-03,4,2026-07-25 00:18:26.923037
31,Deleon-Henson,Consulting,United Kingdom,Paid Ads,2023-06-09,11,2026-07-25 00:18:26.923479
32,"Brady, Frost and Young",Finance,Canada,Partner,2024-09-23,6,2026-07-25 00:18:26.924125
33,Keith Inc,Logistics,India,Social Media,2023-09-10,9,2026-07-25 00:18:26.924476
34,"Middleton, Patton and Jenkins",Consulting,United Kingdom,Referral,2023-10-06,17,2026-07-25 00:18:26.925182
35,"Cochran, Adams and Cobb",Finance,United Kingdom,Social Media,2025-11-06,10,2026-07-25 00:18:26.926203
36,Brennan-Garrison,Consulting,Australia,Referral,2023-06-17,5,2026-07-25 00:18:26.926815
37,Velasquez Group,Manufacturing,United Kingdom,Referral,2023-12-12,18,2026-07-25 00:18:26.927116
38,Hoover-Savage,Consulting,India,Outbound Sales,2024-06-27,11,2026-07-25 00:18:26.927768
39,Keller Group,Logistics,India,Organic,2023-12-13,12,2026-07-25 00:18:26.928517
40,Lin-Rasmussen,Education,USA,Organic,2024-05-24,8,2026-07-25 00:18:26.928897
41,May-Ross,E-Commerce,India,Organic,2024-03-09,16,2026-07-25 00:18:26.929226
42,Crosby-Wilson,Finance,United Kingdom,Outbound Sales,2025-04-12,5,2026-07-25 00:18:26.929633
43,Carpenter LLC,Healthcare,Singapore,Partner,2024-02-10,18,2026-07-25 00:18:26.929841
44,Carlson LLC,Healthcare,Canada,Outbound Sales,2023-03-01,20,2026-07-25 00:18:26.930036
45,Obrien-Dixon,Marketing,USA,Outbound Sales,2024-05-02,7,2026-07-25 00:18:26.930354
46,"Lee, Williams and Graham",Education,Germany,Social Media,2024-08-21,12,2026-07-25 00:18:26.930804
47,"Mcdaniel, Bentley and Mclaughlin",Logistics,Australia,Partner,2025-03-18,4,2026-07-25 00:18:26.931280
48,Reynolds-Rush,Retail,USA,Organic,2023-11-03,11,2026-07-25 00:18:26.931615
49,"Edwards, Charles and Cortez",SaaS,Australia,Outbound Sales,2024-05-27,8,2026-07-25 00:18:26.932166
50,"Parker, Ortiz and Powell",E-Commerce,USA,Organic,2024-04-11,3,2026-07-25 00:18:26.933658
51,"Martinez, Fisher and Bentley",SaaS,USA,Organic,2024-04-04,2,2026-07-25 00:18:26.935187
52,"Orr, Gilbert and Turner",Manufacturing,India,Outbound Sales,2025-11-18,8,2026-07-25 00:18:26.936939
53,Torres and Sons,Education,Singapore,Partner,2025-05-01,7,2026-07-25 00:18:26.937661
54,"Lawson, Morris and Ramos",Consulting,USA,Social Media,2024-10-29,19,2026-07-25 00:18:26.938440
55,Dixon Ltd,E-Commerce,Germany,Referral,2025-11-15,16,2026-07-25 00:18:26.938775
56,"Miller, Robertson and Schultz",Marketing,USA,Organic,2023-09-21,4,2026-07-25 00:18:26.939495
57,Cardenas and Sons,Marketing,Canada,Partner,2024-06-04,14,2026-07-25 00:18:26.939799
58,Walker-Gonzalez,Logistics,United Kingdom,Social Media,2025-11-11,2,2026-07-25 00:18:26.940291
59,Sanchez Group,Finance,India,Partner,2023-02-07,11,2026-07-25 00:18:26.940556
60,Gibson Ltd,Finance,USA,Referral,2025-08-07,7,2026-07-25 00:18:26.940796
61,Higgins Group,Consulting,Germany,Referral,2025-06-13,14,2026-07-25 00:18:26.941030
62,Sanchez-Douglas,Healthcare,Canada,Partner,2025-02-06,8,2026-07-25 00:18:26.941471
63,Osborne and Sons,Finance,Germany,Outbound Sales,2023-01-09,4,2026-07-25 00:18:26.941738
64,"Holmes, Williams and Wright",SaaS,Singapore,Outbound Sales,2023-10-01,1,2026-07-25 00:18:26.942308
65,Anderson-Marshall,Finance,United Kingdom,Referral,2023-07-08,6,2026-07-25 00:18:26.942715
66,"Larson, Dodson and Vance",Marketing,Germany,Partner,2025-04-05,7,2026-07-25 00:18:26.943281
67,"Mcclain, Simmons and Meadows",Marketing,India,Referral,2025-08-09,13,2026-07-25 00:18:26.943899
68,Manning Group,SaaS,Germany,Paid Ads,2024-11-23,15,2026-07-25 00:18:26.944162
69,Walton-Larsen,Education,Germany,Social Media,2024-11-30,18,2026-07-25 00:18:26.944552
70,"Washington, Allen and Gonzales",Logistics,USA,Referral,2024-03-06,10,2026-07-25 00:18:26.945118
71,Nelson LLC,Retail,India,Outbound Sales,2024-03-19,18,2026-07-25 00:18:26.945402
72,Taylor and Sons,SaaS,Singapore,Paid Ads,2025-04-19,2,2026-07-25 00:18:26.945664
73,"Hernandez, Lewis and Perry",SaaS,Australia,Partner,2024-08-18,17,2026-07-25 00:18:26.946226
74,"Owens, Brown and Wall",Consulting,USA,Organic,2024-05-29,17,2026-07-25 00:18:26.946787
75,"Shah, Smith and Gilmore",Finance,United Kingdom,Referral,2024-08-28,3,2026-07-25 00:18:26.947429
76,Woods-Bender,E-Commerce,India,Social Media,2025-06-13,8,2026-07-25 00:18:26.947847
77,Castaneda-Ashley,Marketing,India,Outbound Sales,2024-04-08,8,2026-07-25 00:18:26.948882
78,"Adkins, Payne and Morrison",E-Commerce,Australia,Organic,2024-10-12,20,2026-07-25 00:18:26.950203
79,Robinson-Graham,Finance,Germany,Social Media,2023-12-09,19,2026-07-25 00:18:26.950532
80,Rogers-Shelton,E-Commerce,Australia,Paid Ads,2023-02-15,9,2026-07-25 00:18:26.950809
81,"Martin, Mcdonald and Anderson",Retail,Singapore,Social Media,2024-09-20,11,2026-07-25 00:18:26.951275
82,"Johnson, Long and Elliott",Retail,Canada,Partner,2025-08-24,5,2026-07-25 00:18:26.951800
83,Day and Sons,Education,Germany,Paid Ads,2023-02-12,3,2026-07-25 00:18:26.952006
84,Williams Group,SaaS,Germany,Outbound Sales,2024-12-18,19,2026-07-25 00:18:26.952204
85,Gibson LLC,Finance,India,Outbound Sales,2024-05-23,7,2026-07-25 00:18:26.952404
86,Walton-Decker,Consulting,Canada,Referral,2024-08-11,12,2026-07-25 00:18:26.952758
87,Ruiz Ltd,Finance,USA,Paid Ads,2024-01-27,10,2026-07-25 00:18:26.952981
88,Cooke LLC,Healthcare,Germany,Outbound Sales,2025-04-17,10,2026-07-25 00:18:26.953172
89,"Jones, Bernard and Williams",E-Commerce,United Kingdom,Social Media,2023-12-15,17,2026-07-25 00:18:26.953645
