target_id,manager_id,target_month,target_revenue,achieved_revenue,created_at
1,1,2024-01-01,157500,139384.12,2026-07-25 00:18:33.431431
2,1,2024-02-01,164484,173739.45,2026-07-25 00:18:33.431456
3,1,2024-03-01,114379,98024.55,2026-07-25 00:18:33.431467
4,1,2024-04-01,241598,230693.65,2026-07-25 00:18:33.431476
5,1,2024-05-01,105933,98905.15,2026-07-25 00:18:33.431485
6,1,2024-06-01,171719,130007.77,2026-07-25 00:18:33.431493
7,1,2024-07-01,269875,249168.38,2026-07-25 00:18:33.431499
8,1,2024-08-01,266187,292316.95,2026-07-25 00:18:33.431506
9,1,2024-09-01,276546,235481.31,2026-07-25 00:18:33.431513
10,1,2024-10-01,149584,166719.16,2026-07-25 00:18:33.431520
11,1,2024-11-01,134334,140778.54,2026-07-25 00:18:33.431526
12,1,2024-12-01,293092,224523.69,2026-07-25 00:18:33.431532
13,1,2025-01-01,160025,156032.29,2026-07-25 00:18:33.431538
14,1,2025-02-01,271135,266251.46,2026-07-25 00:18:33.431544
15,1,2025-03-01,83176,76729.7,2026-07-25 00:18:33.431550
16,1,2025-04-01,233819,248945.36,2026-07-25 00:18:33.431557
17,1,2025-05-01,261771,305731.08,2026-07-25 00:18:33.431563
18,1,2025-06-01,134801,142072.61,2026-07-25 00:18:33.431570
19,1,2025-07-01,286424,275173.32,2026-07-25 00:18:33.431576
20,1,2025-08-01,115091,106842.56,2026-07-25 00:18:33.431583
21,1,2025-09-01,247880,211516.75,2026-07-25 00:18:33.431589
22,1,2025-10-01,135315,113874.73,2026-07-25 00:18:33.431595
23,1,2025-11-01,120277,133954.94,2026-07-25 00:18:33.431603
24,1,2025-12-01,153558,132498.1,2026-07-25 00:18:33.431610
25,1,2026-01-01,100505,115415.3,2026-07-25 00:18:33.431618
26,1,2026-02-01,127768,115186.76,2026-07-25 00:18:33.431628
27,1,2026-03-01,209511,237754.07,2026-07-25 00:18:33.431635
28,1,2026-04-01,274354,302282.21,2026-07-25 00:18:33.431641
29,1,2026-05-01,191425,205666.72,2026-07-25 00:18:33.431647
30,1,2026-06-01,290665,309673.11,2026-07-25 00:18:33.431653
31,1,2026-07-01,263100,304947.57,2026-07-25 00:18:33.431660
32,1,2026-08-01,225462,191407.45,2026-07-25 00:18:33.431667
33,1,2026-09-01,148213,116323.12,2026-07-25 00:18:33.431673
34,1,2026-10-01,231024,179348.87,2026-07-25 00:18:33.431681
35,1,2026-11-01,221727,248186.85,2026-07-25 00:18:33.431687
36,1,2026-12-01,274039,220558.74,2026-07-25 00:18:33.431693
37,2,2024-01-01,81319,79099.89,2026-07-25 00:18:33.431811
38,2,2024-02-01,227791,236850.01,2026-07-25 00:18:33.431819
39,2,2024-03-01,230844,236675.8,2026-07-25 00:18:33.431826
