subscription_id,customer_id,plan_id,billing_cycle,subscription_start,subscription_end,subscription_status,discount_percent,created_at
1,1,3,Annual,2023-05-25,,Active,10,2026-07-25 00:18:29.042730
2,2,3,Monthly,2025-01-17,2025-11-30,Expired,15,2026-07-25 00:18:29.042767
3,3,4,Monthly,2023-09-13,2024-10-19,Expired,10,2026-07-25 00:18:29.042785
4,4,2,Monthly,2024-12-07,,Active,10,2026-07-25 00:18:29.042797
5,5,1,Annual,2025-05-13,,Active,0,2026-07-25 00:18:29.042810
6,6,1,Monthly,2023-04-01,,Active,10,2026-07-25 00:18:29.042822
7,7,1,Monthly,2023-03-19,,Active,0,2026-07-25 00:18:29.042833
8,8,1,Annual,2023-03-30,,Active,0,2026-07-25 00:18:29.042845
9,9,3,Monthly,2025-11-14,,Active,10,2026-07-25 00:18:29.042856
10,10,3,Monthly,2024-01-18,,Active,15,2026-07-25 00:18:29.042868
11,11,2,Annual,2025-06-25,,Active,15,2026-07-25 00:18:29.042878
12,12,1,Monthly,2024-05-03,,Active,5,2026-07-25 00:18:29.042890
13,13,1,Monthly,2025-11-09,2027-08-03,Expired,15,2026-07-25 00:18:29.042907
14,14,1,Monthly,2023-04-23,,Active,0,2026-07-25 00:18:29.042918
15,15,1,Monthly,2023-06-05,,Active,5,2026-07-25 00:18:29.042929
16,16,1,Monthly,2024-02-16,,Active,0,2026-07-25 00:18:29.042940
17,17,2,Monthly,2024-01-15,,Active,5,2026-07-25 00:18:29.042951
18,18,1,Monthly,2025-04-23,2027-04-21,Expired,15,2026-07-25 00:18:29.042967
19,19,1,Monthly,2025-04-01,,Active,5,2026-07-25 00:18:29.042978
20,20,1,Monthly,2024-04-10,,Active,15,2026-07-25 00:18:29.042992
21,21,1,Monthly,2023-06-16,,Active,15,2026-07-25 00:18:29.043006
22,22,4,Monthly,2024-06-16,,Active,10,2026-07-25 00:18:29.043018
23,23,1,Monthly,2025-02-24,2025-07-31,Cancelled,10,2026-07-25 00:18:29.043036
24,24,2,Annual,2023-03-20,,Active,15,2026-07-25 00:18:29.043047
25,25,2,Monthly,2023-03-10,,Active,5,2026-07-25 00:18:29.043058
26,26,3,Annual,2025-09-16,,Active,5,2026-07-25 00:18:29.043069
27,27,1,Annual,2024-10-26,,Active,0,2026-07-25 00:18:29.043082
28,28,2,Monthly,2023-08-20,,Active,5,2026-07-25 00:18:29.043093
29,29,1,Monthly,2024-10-29,,Active,5,2026-07-25 00:18:29.043104
30,30,2,Monthly,2023-03-03,2023-04-16,Cancelled,10,2026-07-25 00:18:29.043120
31,31,1,Monthly,2023-06-09,,Active,0,2026-07-25 00:18:29.043131
32,32,3,Monthly,2024-09-23,,Active,10,2026-07-25 00:18:29.043142
33,33,1,Monthly,2023-09-10,,Active,5,2026-07-25 00:18:29.043153
34,34,1,Monthly,2023-10-06,,Active,5,2026-07-25 00:18:29.043165
35,35,1,Monthly,2025-11-06,2027-02-26,Expired,0,2026-07-25 00:18:29.043181
36,36,1,Monthly,2023-06-17,,Active,0,2026-07-25 00:18:29.043192
37,37,2,Monthly,2023-12-12,,Active,0,2026-07-25 00:18:29.043203
38,38,3,Monthly,2024-06-27,,Active,15,2026-07-25 00:18:29.043216
39,39,2,Monthly,2023-12-13,,Active,0,2026-07-25 00:18:29.043227
40,40,2,Monthly,2024-05-24,,Active,15,2026-07-25 00:18:29.043238
41,41,1,Annual,2024-03-09,2025-08-09,Cancelled,10,2026-07-25 00:18:29.043253
42,42,1,Annual,2025-04-12,,Active,0,2026-07-25 00:18:29.043289
43,43,2,Monthly,2024-02-10,,Active,5,2026-07-25 00:18:29.043302
44,44,1,Monthly,2023-03-01,,Active,0,2026-07-25 00:18:29.043313
45,45,1,Monthly,2024-05-02,,Active,15,2026-07-25 00:18:29.043324
46,46,1,Annual,2024-08-21,,Active,5,2026-07-25 00:18:29.043334
47,47,3,Monthly,2025-03-18,,Active,5,2026-07-25 00:18:29.043346
48,48,2,Monthly,2023-11-03,2023-12-06,Expired,0,2026-07-25 00:18:29.043361
49,49,1,Monthly,2024-05-27,,Active,10,2026-07-25 00:18:29.043372
50,50,1,Monthly,2024-04-11,,Active,10,2026-07-25 00:18:29.043383
51,51,2,Monthly,2024-04-04,,Active,10,2026-07-25 00:18:29.043394
52,52,2,Monthly,2025-11-18,,Active,10,2026-07-25 00:18:29.043405
53,53,1,Monthly,2025-05-01,,Active,5,2026-07-25 00:18:29.043417
54,54,1,Monthly,2024-10-29,2025-11-28,Cancelled,5,2026-07-25 00:18:29.043433
55,55,1,Monthly,2025-11-15,,Active,0,2026-07-25 00:18:29.043444
56,56,2,Annual,2023-09-21,,Active,5,2026-07-25 00:18:29.043455
57,57,1,Monthly,2024-06-04,,Active,0,2026-07-25 00:18:29.043467
58,58,1,Monthly,2025-11-11,2027-06-25,Expired,5,2026-07-25 00:18:29.043484
59,59,1,Monthly,2023-02-07,,Active,0,2026-07-25 00:18:29.043495
60,60,1,Monthly,2025-08-07,2026-10-29,Cancelled,10,2026-07-25 00:18:29.043512
61,61,2,Monthly,2025-06-13,2026-02-12,Cancelled,5,2026-07-25 00:18:29.043526
62,62,2,Monthly,2025-02-06,,Active,5,2026-07-25 00:18:29.043539
63,63,1,Monthly,2023-01-09,,Active,0,2026-07-25 00:18:29.043551
64,64,3,Annual,2023-10-01,,Active,15,2026-07-25 00:18:29.043563
65,65,3,Monthly,2023-07-08,,Active,5,2026-07-25 00:18:29.043574
66,66,3,Monthly,2025-04-05,,Active,10,2026-07-25 00:18:29.043586
67,67,3,Monthly,2025-08-09,,Active,5,2026-07-25 00:18:29.043596
68,68,1,Monthly,2024-11-23,,Active,0,2026-07-25 00:18:29.043607
69,69,2,Annual,2024-11-30,,Active,5,2026-07-25 00:18:29.043618
70,70,2,Monthly,2024-03-06,,Active,5,2026-07-25 00:18:29.043629
71,71,1,Monthly,2024-03-19,,Active,15,2026-07-25 00:18:29.043639
72,72,1,Monthly,2025-04-19,,Active,5,2026-07-25 00:18:29.043650
73,73,1,Monthly,2024-08-18,,Active,15,2026-07-25 00:18:29.043661
74,74,1,Annual,2024-05-29,,Active,15,2026-07-25 00:18:29.043672
75,75,1,Monthly,2024-08-28,,Active,5,2026-07-25 00:18:29.043683
76,76,2,Monthly,2025-06-13,2025-11-01,Cancelled,5,2026-07-25 00:18:29.043697
77,77,1,Monthly,2024-04-08,,Active,5,2026-07-25 00:18:29.043708
78,78,2,Monthly,2024-10-12,,Active,10,2026-07-25 00:18:29.043724
79,79,3,Annual,2023-12-09,,Active,5,2026-07-25 00:18:29.043735
80,80,4,Monthly,2023-02-15,,Active,15,2026-07-25 00:18:29.043748
81,81,1,Monthly,2024-09-20,,Active,0,2026-07-25 00:18:29.043786
82,82,1,Monthly,2025-08-24,,Active,15,2026-07-25 00:18:29.043797
83,83,3,Monthly,2023-02-12,2023-07-10,Cancelled,5,2026-07-25 00:18:29.043812
84,84,3,Monthly,2024-12-18,,Active,0,2026-07-25 00:18:29.043823
85,85,2,Monthly,2024-05-23,,Active,5,2026-07-25 00:18:29.043835
86,86,1,Annual,2024-08-11,,Active,5,2026-07-25 00:18:29.043846
87,87,1,Annual,2024-01-27,,Active,0,2026-07-25 00:18:29.043857
88,88,1,Monthly,2025-04-17,,Active,0,2026-07-25 00:18:29.043869
89,89,1,Monthly,2023-12-15,,Active,5,2026-07-25 00:18:29.043881
90,90,1,Annual,2023-02-18,,Active,5,2026-07-25 00:18:29.043892
91,91,3,Monthly,2025-08-23,,Active,5,2026-07-25 00:18:29.043902
92,92,2,Monthly,2025-11-05,,Active,0,2026-07-25 00:18:29.043915
93,93,2,Monthly,2024-12-23,,Active,10,2026-07-25 00:18:29.043925
94,94,4,Monthly,2023-06-27,,Active,0,2026-07-25 00:18:29.043937
95,95,2,Monthly,2025-06-17,,Active,0,2026-07-25 00:18:29.043948
96,96,1,Monthly,2025-11-18,,Active,0,2026-07-25 00:18:29.043959
97,97,1,Annual,2023-04-29,,Active,0,2026-07-25 00:18:29.043970
98,98,1,Monthly,2024-04-13,2026-03-07,Cancelled,0,2026-07-25 00:18:29.043985
99,99,2,Monthly,2023-03-05,2024-02-18,Expired,0,2026-07-25 00:18:29.043999
100,100,2,Monthly,2023-04-18,,Active,10,2026-07-25 00:18:29.044010
101,101,1,Annual,2025-01-31,,Active,15,2026-07-25 00:18:29.044021
102,102,1,Monthly,2025-09-14,,Active,5,2026-07-25 00:18:29.044033
103,103,1,Monthly,2025-03-21,,Active,0,2026-07-25 00:18:29.044045
104,104,1,Monthly,2025-01-21,,Active,15,2026-07-25 00:18:29.044055
105,105,1,Monthly,2024-02-21,,Active,10,2026-07-25 00:18:29.044066
106,106,3,Monthly,2023-05-15,,Active,0,2026-07-25 00:18:29.044077
107,107,1,Monthly,2024-12-22,,Active,15,2026-07-25 00:18:29.044089
108,108,1,Monthly,2024-05-19,,Active,10,2026-07-25 00:18:29.044101
109,109,1,Monthly,2024-02-06,2025-03-20,Expired,10,2026-07-25 00:18:29.044115
110,110,1,Monthly,2024-03-05,,Active,0,2026-07-25 00:18:29.044128
111,111,2,Monthly,2024-09-23,,Active,15,2026-07-25 00:18:29.044138
112,112,1,Annual,2025-01-09,,Active,15,2026-07-25 00:18:29.044150
113,113,2,Monthly,2024-04-02,,Active,5,2026-07-25 00:18:29.044161
114,114,1,Annual,2024-04-20,,Active,0,2026-07-25 00:18:29.044172
115,115,3,Monthly,2024-10-22,,Active,0,2026-07-25 00:18:29.044183
116,116,1,Annual,2024-04-21,,Active,5,2026-07-25 00:18:29.044194
117,117,1,Annual,2024-05-05,,Active,5,2026-07-25 00:18:29.044206
118,118,1,Monthly,2023-10-15,,Active,0,2026-07-25 00:18:29.044216
119,119,1,Monthly,2024-03-05,,Active,5,2026-07-25 00:18:29.044227
120,120,2,Monthly,2023-06-06,,Active,5,2026-07-25 00:18:29.044238
