usage_id,customer_id,usage_month,active_users,api_requests,storage_used_gb,login_count,created_at
1,1,2023-05-25,18,127233,594.32,310,2026-07-25 00:18:31.956992
2,1,2023-06-24,16,47381,253.8,356,2026-07-25 00:18:31.957021
3,1,2023-07-24,27,121114,370.37,369,2026-07-25 00:18:31.957035
4,1,2023-08-23,61,140825,455.01,108,2026-07-25 00:18:31.957048
5,1,2023-09-22,31,68776,311.23,226,2026-07-25 00:18:31.957059
6,1,2023-10-22,75,73742,575.05,206,2026-07-25 00:18:31.957070
7,1,2023-11-21,99,124637,304.2,345,2026-07-25 00:18:31.957080
8,1,2023-12-21,29,141414,515.26,274,2026-07-25 00:18:31.957090
9,1,2024-01-20,68,52502,702.67,383,2026-07-25 00:18:31.957100
10,1,2024-02-19,95,101112,209.75,152,2026-07-25 00:18:31.957111
11,1,2024-03-20,92,71781,795.59,321,2026-07-25 00:18:31.957120
12,1,2024-04-19,68,47585,377.18,273,2026-07-25 00:18:31.957130
13,1,2024-05-19,28,101392,810.38,113,2026-07-25 00:18:31.957142
14,1,2024-06-18,31,54880,824.59,74,2026-07-25 00:18:31.957153
15,2,2025-01-17,58,75760,489.88,402,2026-07-25 00:18:31.957171
16,2,2025-02-16,39,49910,737.87,390,2026-07-25 00:18:31.957181
17,2,2025-03-18,18,109458,804.63,361,2026-07-25 00:18:31.957212
18,2,2025-04-17,97,104814,312.53,415,2026-07-25 00:18:31.957227
19,2,2025-05-17,24,145733,701.49,369,2026-07-25 00:18:31.957235
20,2,2025-06-16,88,81380,481.0,367,2026-07-25 00:18:31.957244
21,2,2025-07-16,59,132122,624.48,243,2026-07-25 00:18:31.957253
22,2,2025-08-15,87,128221,659.87,390,2026-07-25 00:18:31.957261
23,2,2025-09-14,75,138048,608.12,349,2026-07-25 00:18:31.957270
24,2,2025-10-14,46,65429,849.47,448,2026-07-25 00:18:31.957280
25,2,2025-11-13,82,96480,617.06,442,2026-07-25 00:18:31.957290
26,2,2025-12-13,69,94094,280.24,55,2026-07-25 00:18:31.957300
27,2,2026-01-12,44,76183,398.06,123,2026-07-25 00:18:31.957310
28,2,2026-02-11,58,74042,483.65,481,2026-07-25 00:18:31.957319
29,2,2026-03-13,63,32616,867.5,317,2026-07-25 00:18:31.957330
30,2,2026-04-12,29,32962,493.52,165,2026-07-25 00:18:31.957340
31,2,2026-05-12,81,139076,583.8,348,2026-07-25 00:18:31.957348
32,3,2023-09-13,184,322897,1040.19,248,2026-07-25 00:18:31.957365
33,3,2023-10-13,110,409197,3758.11,56,2026-07-25 00:18:31.957376
34,3,2023-11-12,108,430997,3328.63,133,2026-07-25 00:18:31.957386
35,3,2023-12-12,454,320404,1123.71,238,2026-07-25 00:18:31.957396
36,3,2024-01-11,450,285273,4499.76,217,2026-07-25 00:18:31.957405
37,3,2024-02-10,365,405934,4256.8,91,2026-07-25 00:18:31.957415
38,3,2024-03-11,92,437319,3281.8,421,2026-07-25 00:18:31.957423
39,3,2024-04-10,343,198689,2891.72,99,2026-07-25 00:18:31.957431
40,3,2024-05-10,424,345453,944.61,85,2026-07-25 00:18:31.957439
41,3,2024-06-09,227,394158,1141.6,216,2026-07-25 00:18:31.957450
42,3,2024-07-09,363,341745,4060.32,147,2026-07-25 00:18:31.957460
43,3,2024-08-08,384,224917,1223.74,452,2026-07-25 00:18:31.957469
44,3,2024-09-07,138,403530,3064.69,256,2026-07-25 00:18:31.957477
45,3,2024-10-07,408,183828,3367.03,58,2026-07-25 00:18:31.957485
46,3,2024-11-06,35,425526,2947.73,115,2026-07-25 00:18:31.957493
47,3,2024-12-06,208,443002,1475.68,26,2026-07-25 00:18:31.957501
48,3,2025-01-05,431,273559,1493.85,458,2026-07-25 00:18:31.957522
49,3,2025-02-04,298,221722,4426.06,382,2026-07-25 00:18:31.957532
50,3,2025-03-06,28,196342,1598.41,321,2026-07-25 00:18:31.957542
51,3,2025-04-05,258,373517,2512.42,183,2026-07-25 00:18:31.957552
52,3,2025-05-05,167,484096,3289.75,491,2026-07-25 00:18:31.957560
53,3,2025-06-04,462,218326,3520.5,51,2026-07-25 00:18:31.957569
54,3,2025-07-04,108,477844,1637.7,393,2026-07-25 00:18:31.957577
55,3,2025-08-03,427,273516,2557.37,98,2026-07-25 00:18:31.957585
56,4,2024-12-07,14,19105,64.9,182,2026-07-25 00:18:31.957599
57,4,2025-01-06,24,13151,199.89,315,2026-07-25 00:18:31.957608
58,4,2025-02-05,10,8305,118.57,102,2026-07-25 00:18:31.957616
59,4,2025-03-07,17,24321,194.11,61,2026-07-25 00:18:31.957624
60,4,2025-04-06,7,18164,97.83,126,2026-07-25 00:18:31.957633
61,4,2025-05-06,8,5941,192.35,24,2026-07-25 00:18:31.957641
62,4,2025-06-05,4,21984,113.94,319,2026-07-25 00:18:31.957649
63,5,2025-05-13,1,3939,29.74,464,2026-07-25 00:18:31.957661
64,5,2025-06-12,4,1942,39.59,211,2026-07-25 00:18:31.957669
65,5,2025-07-12,4,1889,33.8,244,2026-07-25 00:18:31.957677
66,5,2025-08-11,4,3236,27.41,461,2026-07-25 00:18:31.957717
67,5,2025-09-10,4,3030,38.63,173,2026-07-25 00:18:31.957726
68,5,2025-10-10,1,3551,39.12,407,2026-07-25 00:18:31.957734
69,6,2023-04-01,4,947,7.15,56,2026-07-25 00:18:31.957746
70,6,2023-05-01,3,3007,30.26,18,2026-07-25 00:18:31.957754
71,6,2023-05-31,4,4925,23.2,141,2026-07-25 00:18:31.957762
72,6,2023-06-30,4,2482,21.41,266,2026-07-25 00:18:31.957770
73,6,2023-07-30,3,4141,37.84,53,2026-07-25 00:18:31.957778
74,6,2023-08-29,2,2854,36.71,384,2026-07-25 00:18:31.957786
75,6,2023-09-28,1,2449,29.32,28,2026-07-25 00:18:31.957795
76,7,2023-03-19,4,1368,15.48,306,2026-07-25 00:18:31.957809
77,7,2023-04-18,3,2456,26.14,199,2026-07-25 00:18:31.957819
78,7,2023-05-18,4,3321,9.48,245,2026-07-25 00:18:31.957830
79,7,2023-06-17,2,4485,38.84,343,2026-07-25 00:18:31.957841
80,7,2023-07-17,2,2093,5.48,290,2026-07-25 00:18:31.957850
81,8,2023-03-30,1,3593,6.31,345,2026-07-25 00:18:31.957862
82,8,2023-04-29,5,4336,21.57,215,2026-07-25 00:18:31.957872
83,8,2023-05-29,3,4760,18.03,182,2026-07-25 00:18:31.957896
84,8,2023-06-28,4,1383,9.18,153,2026-07-25 00:18:31.957908
85,8,2023-07-28,3,2298,5.04,181,2026-07-25 00:18:31.957917
86,9,2025-11-14,71,45986,408.09,77,2026-07-25 00:18:31.957930
87,9,2025-12-14,37,71531,352.0,337,2026-07-25 00:18:31.957940
88,9,2026-01-13,62,149249,404.21,185,2026-07-25 00:18:31.957965
89,9,2026-02-12,56,76569,207.63,202,2026-07-25 00:18:31.957982
90,9,2026-03-14,56,77338,407.7,350,2026-07-25 00:18:31.957994
91,9,2026-04-13,14,141389,497.36,262,2026-07-25 00:18:31.958003
92,9,2026-05-13,74,51469,279.41,474,2026-07-25 00:18:31.958012
93,9,2026-06-12,77,86250,804.15,153,2026-07-25 00:18:31.958022
94,9,2026-07-12,72,61401,632.08,136,2026-07-25 00:18:31.958035
95,9,2026-08-11,96,81697,876.41,91,2026-07-25 00:18:31.958045
96,9,2026-09-10,86,91953,240.44,205,2026-07-25 00:18:31.958053
97,9,2026-10-10,6,63401,764.62,137,2026-07-25 00:18:31.958062
98,9,2026-11-09,34,122371,647.09,80,2026-07-25 00:18:31.958072
99,9,2026-12-09,30,102469,202.66,366,2026-07-25 00:18:31.958082
100,9,2027-01-08,2,135275,397.21,249,2026-07-25 00:18:31.958092
101,9,2027-02-07,74,51107,577.49,157,2026-07-25 00:18:31.958101
102,9,2027-03-09,20,83393,830.28,422,2026-07-25 00:18:31.958111
103,10,2024-01-18,48,74785,822.9,364,2026-07-25 00:18:31.958125
104,10,2024-02-17,95,57843,645.43,122,2026-07-25 00:18:31.958136
105,10,2024-03-18,37,49738,639.96,263,2026-07-25 00:18:31.958145
106,10,2024-04-17,30,101593,781.01,36,2026-07-25 00:18:31.958155
107,10,2024-05-17,28,127241,507.64,28,2026-07-25 00:18:31.958165
108,10,2024-06-16,63,109388,742.28,144,2026-07-25 00:18:31.958174
